order_id,order_name,net_quantity,gross_sales,returns,net_sales,taxes,total_sales
6064011378860,#49861,10,12230.000,0.000,12230.000,1161.880,13391.880
6071666213036,#50095,15,11660.000,0.000,11660.000,895.880,12555.880
6048615334060,#49335,7,7535.000,0.000,7535.000,715.870,8250.870
6023511834796,#48486,6,6981.600,0.000,6981.600,382.560,7364.160
6024325136556,#48525,18,7095.000,0.000,7095.000,0.000,7095.000
6066046566572,#49933,3,6415.000,0.000,6415.000,609.450,7024.450
6044235235500,#49119,5,6065.000,0.000,6065.000,576.210,6641.210
6033885233324,#48797,4,5630.000,0.000,5630.000,464.480,6094.480
6034240667820,#48813,6,6090.000,0.000,6090.000,0.000,6090.000
6046398513324,#49230,6,5370.000,0.000,5370.000,510.180,5880.180
6064236560556,#49880,4,5330.000,0.000,5330.000,506.360,5836.360
6075964555436,#50264,6,5810.860,0.000,5810.860,0.000,5810.860
6052367368364,#49460,12,5325.000,0.000,5325.000,0.000,5325.000
6059797020844,#49695,6,4825.000,0.000,4825.000,458.390,5283.390
6071828545708,#50117,5,5275.000,0.000,5275.000,0.000,5275.000
6060670058668,#49728,5,5160.720,0.000,5160.720,0.000,5160.720
6054252019884,#49531,11,4765.000,0.000,4765.000,0.000,4765.000
6081077215404,#50432,5,4290.000,0.000,4290.000,407.580,4697.580
6074976501932,#50236,5,4325.000,0.000,4325.000,302.750,4627.750
6033277223084,#48777,4,5430.000,0.000,4344.000,260.640,4604.640
6056464973996,#49619,17,5670.000,0.000,4536.000,35.720,4571.720
6046612193452,#49249,6,4080.000,0.000,4080.000,387.620,4467.620
6038339256492,#48940,10,4195.000,0.000,4195.000,0.000,4195.000
6080682295468,#50409,4,3805.000,0.000,3805.000,361.490,4166.490
6030086471852,#48702,10,4025.000,0.000,4025.000,0.000,4025.000
6038575513772,#48960,11,4015.000,0.000,4015.000,0.000,4015.000
6072062705836,#50140,3,3750.000,0.000,3750.000,262.500,4012.500
6071888412844,#50126,3,3635.000,0.000,3635.000,345.330,3980.330
6065915560108,#49921,6,3560.000,0.000,3560.000,338.240,3898.240
6036547993772,#48893,4,3540.000,0.000,3540.000,336.320,3876.320
6048093667500,#49286,4,3580.000,0.000,3580.000,295.400,3875.400
6061785022636,#49766,7,3865.000,0.000,3865.000,0.000,3865.000
6060355092652,#49724,3,3520.000,0.000,3520.000,334.420,3854.420
6026429104300,#48603,4,3540.000,0.000,3540.000,234.540,3774.540
6074042974380,#50210,7,3720.000,0.000,3720.000,0.000,3720.000
