,order_id,total_sales,oders_total_price,delta
3,6023511834796,7364.16,7726.71,-362.5500000000002
19,6033277223084,4604.64,4636.44,-31.799999999999272
30,6048093667500,3875.4,3907.88,-32.48000000000002
45,6048523419820,3409.89,3442.37,-32.48000000000002
51,6034238570668,3230.26,4927.52,-1697.2600000000002
55,6056010154156,3159.09,4954.89,-1795.8000000000002
59,6081743585452,3086.82,3134.02,-47.19999999999982
62,6037990637740,3005.79,3827.05,-821.2600000000002
65,6046452547756,2962.92,2996.03,-33.11000000000013
77,6050645049516,2704.68,5113.7,-2409.02
88,6023164690604,2613.75,2643.75,-30.0
89,6071813636268,2610.0,3480.0,-870.0
90,6042946142380,2608.71,2745.67,-136.96000000000004
129,6034050810028,2184.53,4369.06,-2184.53
144,6028891488428,2162.08,2194.59,-32.51000000000022
148,6063840395436,2139.64,2169.64,-30.0
149,6024667693228,2139.64,2169.64,-30.0
150,6046410604716,2136.96,2168.76,-31.800000000000182
152,6081215103148,2134.65,2166.75,-32.09999999999991
154,6044389933228,2127.17,3054.81,-927.6399999999999
156,6047734038700,2119.69,2149.69,-30.0
164,6049770078380,2090.7,2122.78,-32.08000000000038
186,6082285338796,1956.73,1996.48,-39.75
191,6028850167980,1936.6,2033.77,-97.17000000000007
192,6066728829100,1936.56,2033.73,-97.17000000000007
196,6046136631468,1919.78,1949.78,-30.0
201,6025660039340,1902.7,1934.5,-31.799999999999955
203,6029202555052,1874.65,1960.55,-85.89999999999986
217,6076341059756,1809.34,1854.36,-45.01999999999998
230,6046101242028,1791.98,1831.73,-39.75
232,6034701189292,1779.4,1811.96,-32.559999999999945
234,6055621099692,1775.3,1807.78,-32.48000000000002
245,6081174143148,1754.8,1786.9,-32.100000000000136
249,6022983155884,1754.8,1786.9,-32.100000000000136
255,6061669548204,1720.24,1759.98,-39.74000000000001
261,6049407697068,1709.34,1742.0,-32.66000000000008
266,6062356627628,1689.02,1734.04,-45.01999999999998
270,6071185965228,1658.5,1690.6,-32.09999999999991
276,6073321914540,1640.0,1670.0,-30.0
280,6046046945452,1635.4,1722.26,-86.8599999999999
292,6036340015276,1587.76,3175.52,-1587.76
300,6038140027052,1570.0,2205.0,-635.0
306,6039986700460,1569.64,2706.28,-1136.64
307,6041663537324,1569.63,1602.11,-32.47999999999979
315,6028565446828,1551.5,1583.6,-32.09999999999991
